ID	index	Hchain	Lchain	antigen_chain	antigen_type	date	resolution	method	r_free	r_factor	scfv	affinity	delta_g	temperature	pmid	type	L_cluster	H_cluster	Ag_cluster	all_clusters
5c3l_D!_CAB	7	D	missing	C | A | B	protein | protein | protein	06/17/15	2.9	X-RAY DIFFRACTION	0.301	0.265	False	None	None	None	None	Nanobody	missing	1342	473|444|468	1342:missing:473|444|468
5w3e_EG_BAC	10	E	G	B | A | C	protein | protein | protein	06/07/17	2.53	ELECTRON MICROSCOPY	missing	missing	False	None	None	None	None	Fab	701	1288	262|204|229	1288:701:262|204|229
6wds_HL_CAB	23	H	L	C | A | B	protein | protein | protein	04/01/20	2.9	ELECTRON MICROSCOPY	missing	missing	False	None	None	None	None	Fab	708	1310	240|180|259	1310:708:240|180|259
6z3p_HL_CAB	26	H	L	C | A | B	protein | protein | protein	05/21/20	2.8	ELECTRON MICROSCOPY	missing	missing	False	None	None	None	None	Fab	147	1174	249|176|243	1174:147:249|176|243
6z3q_HL_CAB	27	H	L	C | A | B	protein | protein | protein	05/21/20	2.7	ELECTRON MICROSCOPY	missing	missing	False	None	None	None	None	Fab	709	1206	249|176|243	1206:709:249|176|243
7ec5_EF_BAC	29	E	F	B | A | C	protein | protein | protein	03/31/21	2.89	ELECTRON MICROSCOPY	missing	missing	False	None	None	None	None	Fab	710	1230	259|180|240	1230:710:259|180|240
6xp6_JI_DEF	33	J	I	D | E | F	protein | protein | peptide	07/28/21	2.4	X-RAY DIFFRACTION	0.212	0.176	False	None	None	None	None	Fab	431	363	352|356|missing	363:431:352|356|missing
7k7h_HL_ACG	34	H	L	A | C | G	protein | protein | peptide	09/01/21	3.0	ELECTRON MICROSCOPY	missing	missing	False	None	None	None	None	Fab	654	1254	507|507|missing	1254:654:507|507|missing
1kb5_HL_AB	35	H	L	A | B	protein | protein	04/06/97	2.5	X-RAY DIFFRACTION	unknown	0.219	False	None	None	missing	missing	Fab	240	439	505|490	439:240:505|490
1xiw_DC_AF	38	D	C	A | F	protein | protein	09/22/04	1.9	X-RAY DIFFRACTION	0.241	0.204	False	None	None	missing	missing	Fab	687	1147	588|629	1147:687:588|629
1xiw_HG_EB	39	H	G	E | B	protein | protein	09/22/04	1.9	X-RAY DIFFRACTION	0.241	0.204	False	None	None	missing	missing	Fab	687	1147	377|629	1147:687:377|629
3gbm_HL_BA	55	H	L	B | A	protein | protein	02/20/09	2.7	X-RAY DIFFRACTION	0.261	0.203	False	None	None	missing	missing	Fab	180	717	363|146	717:180:363|146
3gbm_IM_DC	56	I	M	D | C	protein | protein	02/20/09	2.7	X-RAY DIFFRACTION	0.261	0.203	False	None	None	missing	missing	Fab	632	717	363|146	717:632:363|146
3h42_HL_BA	57	H	L	B | A	protein | protein	04/17/09	2.3	X-RAY DIFFRACTION	0.209	0.191	False	4E-12	-15.54	25	19443683	Fab	176	300	34|34	300:176:34|34
